epoch,accuracy,loss,val_accuracy,val_loss
0,0.7555999755859375,0.12285056710243225,0.9273999929428101,0.041425641626119614
1,0.9151777625083923,0.048005517572164536,0.9455999732017517,0.031862616539001465
2,0.9323333501815796,0.03840586170554161,0.9553999900817871,0.025939468294382095
3,0.9444666504859924,0.031971607357263565,0.9618666768074036,0.022473491728305817
4,0.9511333107948303,0.02803010866045952,0.967199981212616,0.018959645181894302
5,0.9584222435951233,0.02424939163029194,0.9694666862487793,0.017384523525834084
6,0.9618444442749023,0.021764909848570824,0.9739333391189575,0.015488054603338242
7,0.9671555757522583,0.019774874672293663,0.974399983882904,0.014672663062810898
8,0.9702000021934509,0.01738904044032097,0.9763333201408386,0.013844571076333523
9,0.9731555581092834,0.015989137813448906,0.9787999987602234,0.012595899403095245
